"fix_smooth","resid_var_indep","resid_var_subj","n","beta_mult"
TRUE,FALSE,FALSE,4,1
TRUE,FALSE,FALSE,5,1
TRUE,FALSE,FALSE,6,1
TRUE,FALSE,FALSE,7,1
TRUE,FALSE,FALSE,8,1
